Date,Open,High,Low,Close,Adj Close,Volume
2020-12-22,0.004784,0.004843,0.004370,0.004508,0.004508,239288785
2020-12-23,0.004508,0.004735,0.003640,0.003768,0.003768,205080908
2020-12-24,0.003768,0.004577,0.003697,0.004570,0.004570,143405580
2020-12-25,0.004570,0.004613,0.004395,0.004582,0.004582,136819917
2020-12-26,0.004581,0.004640,0.004423,0.004494,0.004494,151728507
2020-12-27,0.004493,0.004805,0.004429,0.004548,0.004548,154526399
2020-12-28,0.004548,0.004716,0.004523,0.004592,0.004592,99641525
2020-12-29,0.004592,0.004608,0.004278,0.004486,0.004486,90876497
2020-12-30,0.004487,0.004703,0.004453,0.004636,0.004636,94834499
2020-12-31,0.004636,0.004743,0.004553,0.004682,0.004682,85498337
2021-01-01,0.004681,0.005685,0.004615,0.005685,0.005685,228961515
2021-01-02,0.005686,0.013698,0.005584,0.010615,0.010615,3421562680
2021-01-03,0.010602,0.013867,0.009409,0.009771,0.009771,2707003608
2021-01-04,0.009785,0.011421,0.007878,0.009767,0.009767,1372398979
2021-01-05,0.009767,0.010219,0.008972,0.009920,0.009920,687256067
2021-01-06,0.009923,0.010854,0.009685,0.010465,0.010465,749915516
2021-01-07,0.010454,0.010532,0.009162,0.009742,0.009742,520644706
2021-01-08,0.009743,0.010285,0.008986,0.009846,0.009846,394462164
2021-01-09,0.009833,0.010740,0.009740,0.010194,0.010194,485842353
2021-01-10,0.010193,0.010867,0.009177,0.009860,0.009860,458583519
2021-01-11,0.009858,0.009858,0.006770,0.008835,0.008835,637956958
2021-01-12,0.008830,0.009145,0.007904,0.008063,0.008063,333308457
2021-01-13,0.008062,0.008646,0.007787,0.008616,0.008616,240079033
2021-01-14,0.008619,0.010030,0.008349,0.009397,0.009397,428369039
2021-01-15,0.009389,0.009796,0.008460,0.009369,0.009369,398965925
2021-01-16,0.009367,0.009531,0.009140,0.009265,0.009265,258630480
2021-01-17,0.009263,0.009367,0.008841,0.009067,0.009067,254487989
2021-01-18,0.009070,0.009295,0.008981,0.009171,0.009171,205025648
2021-01-19,0.009172,0.009613,0.009020,0.009098,0.009098,249242632
2021-01-20,0.009096,0.009153,0.008529,0.009060,0.009060,220205442
2021-01-21,0.009062,0.009089,0.008061,0.008166,0.008166,215419839
2021-01-22,0.008165,0.008769,0.007654,0.008524,0.008524,185490003
2021-01-23,0.008520,0.008808,0.008388,0.008579,0.008579,154393737
2021-01-24,0.008578,0.008951,0.008516,0.008727,0.008727,162191977
2021-01-25,0.008727,0.008879,0.008276,0.008383,0.008383,180820875
2021-01-26,0.008382,0.008456,0.008022,0.008255,0.008255,161173749
2021-01-27,0.008255,0.008259,0.007294,0.007482,0.007482,204797186
2021-01-28,0.007481,0.013826,0.007351,0.012555,0.012555,2125005503
2021-01-29,0.043734,0.077973,0.032341,0.047162,0.047162,25403310432
2021-01-30,0.046803,0.049901,0.022488,0.028176,0.028176,8735576553
2021-01-31,0.028191,0.045289,0.027102,0.037196,0.037196,8548997882
2021-02-01,0.037054,0.043250,0.033367,0.034875,0.034875,6319224026
2021-02-02,0.034910,0.034926,0.029195,0.031520,0.031520,3090896595
2021-02-03,0.031493,0.039105,0.031146,0.037120,0.037120,3146856788
2021-02-04,0.037226,0.057869,0.035945,0.053289,0.053289,13040837601
2021-02-05,0.053043,0.053740,0.043540,0.046935,0.046935,6136160058
2021-02-06,0.046931,0.058308,0.044904,0.057595,0.057595,5946101275
2021-02-07,0.057502,0.084357,0.054239,0.078782,0.078782,14261024073
2021-02-08,0.078352,0.084945,0.064702,0.078825,0.078825,12844375210
2021-02-09,0.078773,0.083128,0.065621,0.070070,0.070070,7348840814
2021-02-10,0.070111,0.081091,0.068525,0.072896,0.072896,6785088422
2021-02-11,0.072844,0.074301,0.068290,0.069676,0.069676,3818556739
2021-02-12,0.069650,0.072610,0.061445,0.070069,0.070069,4190843784
2021-02-13,0.070025,0.071646,0.066135,0.066450,0.066450,2618049766
2021-02-14,0.066448,0.066448,0.056723,0.062537,0.062537,3984667628
2021-02-15,0.062568,0.063924,0.048547,0.056591,0.056591,4944804938
2021-02-16,0.056488,0.059668,0.050983,0.053520,0.053520,3409478696
2021-02-17,0.053522,0.054983,0.048034,0.049376,0.049376,2976148723
2021-02-18,0.049363,0.061799,0.048989,0.059541,0.059541,4551943638
2021-02-19,0.059434,0.059497,0.054315,0.055139,0.055139,2949251418
2021-02-20,0.055132,0.060286,0.051628,0.054384,0.054384,3175468554
2021-02-21,0.054369,0.058428,0.053556,0.055980,0.055980,2450293068
2021-02-22,0.056044,0.060466,0.047096,0.053725,0.053725,3366757324
2021-02-23,0.053698,0.053768,0.042410,0.047392,0.047392,2394345361
2021-02-24,0.047414,0.059873,0.046216,0.056555,0.056555,4148511571
2021-02-25,0.056615,0.057808,0.049869,0.050167,0.050167,2356982022
2021-02-26,0.050138,0.052472,0.048708,0.050480,0.050480,1694323466
2021-02-27,0.050500,0.051920,0.049297,0.050083,0.050083,1286229526
2021-02-28,0.050097,0.050134,0.045088,0.048052,0.048052,1408101260
2021-03-01,0.048070,0.051479,0.048029,0.050599,0.050599,1494427207
2021-03-02,0.050596,0.052382,0.049299,0.050262,0.050262,1346282318
2021-03-03,0.050278,0.052126,0.050078,0.050592,0.050592,1093877445
2021-03-04,0.050587,0.051087,0.047879,0.050048,0.050048,1170617084
2021-03-05,0.050028,0.050854,0.048147,0.049609,0.049609,1173113591
2021-03-06,0.049601,0.052397,0.049383,0.050984,0.050984,1480482384
2021-03-07,0.050980,0.052141,0.050572,0.052122,0.052122,945455832
2021-03-08,0.052123,0.061949,0.051672,0.061949,0.061949,3554150800
2021-03-09,0.062104,0.062268,0.056051,0.057998,0.057998,2466159943
2021-03-10,0.057964,0.058616,0.054692,0.056004,0.056004,1534489620
2021-03-11,0.055977,0.056698,0.054502,0.055918,0.055918,1233383425
2021-03-12,0.055921,0.056980,0.054513,0.055349,0.055349,1287767221
2021-03-13,0.055353,0.062432,0.054756,0.062432,0.062432,1869833076
2021-03-14,0.062384,0.063052,0.058592,0.058592,0.058592,2752132530
2021-03-15,0.058531,0.059689,0.055141,0.057088,0.057088,1738710876
2021-03-16,0.057086,0.058921,0.055493,0.058607,0.058607,1393771913
2021-03-17,0.058610,0.058866,0.056471,0.057653,0.057653,861926643
2021-03-18,0.057640,0.058828,0.054143,0.057383,0.057383,909777445
2021-03-19,0.057377,0.059721,0.056604,0.058328,0.058328,964747809
2021-03-20,0.058315,0.060639,0.058120,0.058961,0.058961,1012934488
2021-03-21,0.058970,0.059521,0.056798,0.057234,0.057234,759592996
